
5,14896K,189828,312.39,45939
12,155290,151508,311.55,45940
19,132645,129950,311.17,45940
26,132366,129864,309.04,45940
32,155369,151568,303.89,45940
38,133584,130088,299.24,45940
44,133315,129864,294.91,45940
51,132842,130032,290.59,45940
57,132744,129864,286.32,45940
63,302730,299808,282.25,45825
68,393493,391716,403.97,45697
73,293265,291504,819.77,45698
79,173353,171433,809.91,45440
84,254472,252492,1028.57,45442
91,128106,126414,1302.75,45442
100,444829,441921,1393.67,44927
115,319225,315761,1590.52,44930
153,229455,219238,1964.47,44930
160,276455,275495,2091.95,44930
174,239370,236152,2499.95,43906
180,245730,236156,2765.26,43906
186,443511,432857,3106.82,43906
194,631979,629459,3276.77,43906
200,158720,157400,3665.23,43906
206,237180,236100,3686.46,43906
213,158060,157340,4048.93,43906
219,276185,275345,4003.08,43906
225,236550,236250,4350.90,43906
232,248150,247156,4408.48,41849
238,303150,302010,4691.84,41858
245,727275,726581,4860.68,41858
252,516590,515810,5075.94,41858
261,405890,402916,5260.97,41858
267,254795,251735,5440.90,41858
274,303900,302100,5545.03,41858
280,253055,251757,5780.43,41858
286,303450,302092,5817.67,41858
291,252515,251915,6086.13,41858
298,490914,489774,6074.24,41858
304,565895,564515,6335.75,41858
311,577423,575263,6372.25,41858
318,151560,149520,6469.87,41858
326,176210,174590,6814.25,41858
332,175700,174586,6888.31,41858
339,125770,124690,7113.90,41858
345,175400,174440,7159.44,41858
352,150660,149520,7348.72,37762
358,332314,330650,7456.40,37762
365,514492,513510,7681.02,37762
372,203130,201510,7691.52,37762
379,150840,149520,7928.93,37762
385,150900,149606,7994.14,37762
391,344016,342876,8129.35,37762
398,345456,342876,8294.71,37762
405,401827,399847,8307.06,37762
411,345066,342726,8531.46,37762
417,608290,607090,8457.66,37762
424,673211,671231,8710.14,37762
430,666491,664091,8662.95,37762
437,403147,399847,8922.03,37762
444,345066,342726,8923.74,37762
451,279954,277908,9159.71,37762
457,280038,278058,9128.73,37762
464,279498,278058,9224.48,37762
470,279468,277908,9377.08,37762
477,386332,385072,9482.87,37762
485,693896,692216,9639.00,37762
492,654842,653042,9858.15,37762
498,440732,438714,9857.91,37762
505,279648,277908,10022.45,37762
511,362340,360318,10052.88,37762
517,378471,376976,10247.22,37762
524,378360,376942,10207.50,37762
530,252793,251350,10399.82,37762
536,378081,376800,10405.56,37762
543,429516,428196,10615.85,37762
549,840486,839466,10573.81,37762
556,600390,599550,10777.77,37762
562,549116,548496,10736.16,37762
569,378918,376800,10948.24,37761
574,379541,376800,10969.77,37761
581,177074,175034,11133.83,33665
588,198592,196252,11104.00,33665
594,143270,140390,11283.11,33665
601,198475,196252,11282.88,33665
606,246622,244942,11481.39,33665
611,404935,402175,11406.92,33665
619,407515,402175,11613.32,33665
625,306959,301246,11600.79,33665
632,142802,140240,11755.70,33665
638,143503,140352,11770.10,33665
645,142880,140262,11920.26,33665
652,199162,196342,11899.38,33665
658,266636,264356,12054.83,33665
665,285924,283464,12071.87,33665
671,639612,637272,12192.00,33665
677,640032,637452,12192.52,33665
682,296228,295148,12215.26,33665
688,237790,236170,12375.23,33665
694,285264,283688,12380.45,33665
700,237970,236338,12435.95,33665
706,285504,283486,12473.17,33665
713,286254,283494,12576.48,33665
720,332798,330638,12598.55,33665
727,414979,412396,12667.84,33665
734,636947,634968,12671.34,33665
740,463106,461264,12804.49,33665
746,232428,230028,12809.20,33665
752,231288,229848,12935.82,33665
759,194540,191600,12877.08,33665
765,231828,229908,13045.04,33665
772,232248,229934,12990.15,33665
778,432124,430504,13143.44,33665
785,500052,498612,13122.71,33665
791,778685,777125,13233.42,33665
798,712944,711684,13217.51,33665
805,659391,658371,13365.55,25473
811,393276,392196,13284.84,25473
818,393426,392188,13416.93,25473
825,458297,457517,13371.39,25473
832,393426,392166,13461.66,25473
839,393066,392106,13444.17,25474
845,393879,392196,13401.04,45940
852,640018,638857,13310.06,45940
859,702312,701352,13219.67,45940
866,566502,562744,13131.13,45940
873,320334,318114,13043.51,45940
880,372903,370923,12958.54,45940
886,320154,317934,12883.17,45940
892,318714,317994,12809.08,45940
898,319374,318080,12735.08,45940
