
6,0.0,0.0
13,0.0,0.0
20,0.0,0.0
27,0.0,0.0
33,0.0,0.0
39,0.0,0.0
45,0.0,0.0
51,0.0,0.0
57,0.0,0.0
63,0.0,0.0
68,0.2,0.0
73,0.7,0.0
79,1.3,0.0
85,1.7,0.0
91,1.8,0.0
101,2.2,0.0
147,2.1,0.0
154,2.4,0.0
161,2.4,0.0
175,2.6,0.0
180,2.6,0.0
188,2.6,0.0
194,2.6,0.0
201,2.6,0.0
207,2.6,0.0
213,2.6,0.0
220,2.6,0.0
226,2.6,0.0
233,2.6,0.0
239,2.7,0.0
246,2.7,0.0
255,2.7,0.0
262,2.7,0.0
268,2.7,0.0
274,2.7,0.0
280,2.7,0.0
286,2.7,0.0
292,2.7,0.0
298,2.7,0.0
305,2.6,0.0
312,2.6,0.0
320,2.6,0.0
327,2.6,0.0
333,2.6,0.0
340,2.6,0.0
346,2.6,0.0
353,2.6,0.0
359,2.6,0.0
366,2.6,0.0
373,2.6,0.0
379,2.6,0.0
385,2.6,0.0
392,2.6,0.0
399,2.6,0.0
405,2.5,0.0
412,2.5,0.0
418,2.5,0.0
424,2.5,0.0
431,2.5,0.0
438,2.5,0.0
445,2.5,0.0
451,2.5,0.0
458,2.5,0.0
465,2.5,0.0
471,2.5,0.0
479,2.4,0.0
486,2.4,0.0
492,2.4,0.0
499,2.4,0.0
506,2.4,0.0
512,2.4,0.0
518,2.4,0.0
524,2.4,0.0
531,2.4,0.0
537,2.4,0.0
543,2.4,0.0
550,2.4,0.0
556,2.4,0.0
563,2.4,0.0
569,2.4,0.0
575,2.4,0.0
582,2.4,0.0
589,2.3,0.0
595,2.3,0.0
601,2.3,0.0
606,2.3,0.0
612,2.3,0.0
620,2.3,0.0
626,2.3,0.0
633,2.3,0.0
639,2.3,0.0
646,2.3,0.0
653,2.3,0.0
660,2.3,0.0
666,2.3,0.0
672,2.3,0.0
677,2.3,0.0
682,2.3,0.0
688,2.3,0.0
695,2.3,0.0
701,2.3,0.0
707,2.3,0.0
715,2.3,0.0
722,2.3,0.0
728,2.3,0.0
734,2.3,0.0
741,2.3,0.0
747,2.2,0.0
753,2.2,0.0
760,2.2,0.0
766,2.2,0.0
773,2.2,0.0
779,2.2,0.0
786,2.2,0.0
793,2.2,0.0
799,2.2,0.0
806,2.2,0.0
812,2.2,0.0
820,2.2,0.0
827,2.2,0.0
833,2.2,0.0
839,2.2,0.0
846,2.5,0.0
853,2.8,0.0
860,3.2,0.0
867,3.5,0.0
874,3.9,0.0
880,4.3,0.0
886,4.9,0.0
892,5.5,0.0
899,6.1,0.0
